loss,accuracy,val_loss,val_accuracy,lr
0.926765263,0.539852798,0.924750507,0.551831722,0.001
0.767323256,0.65624541,0.962123811,0.583498001,0.001
0.575492442,0.764888465,0.544749737,0.781190515,0.001
0.450758964,0.825183451,0.498353779,0.808401048,0.001
0.384543538,0.854889452,0.440436929,0.828374326,0.001
0.346364886,0.870095909,0.396615207,0.848411679,0.001
0.320988894,0.880224347,0.448779255,0.827889383,0.001
0.302502662,0.887422681,0.457498908,0.824257076,0.001
0.286856681,0.893326402,0.355368763,0.868970513,0.001
0.275580615,0.897045612,0.347673893,0.870196521,0.001
0.263810158,0.901583791,0.458961397,0.824293673,0.001
0.255323768,0.904449821,0.37591508,0.860379159,0.001
0.246853501,0.907890022,0.300593108,0.886345327,0.001
0.23948878,0.909976125,0.320158988,0.882420242,0.001
0.231481522,0.912762105,0.277183682,0.897626638,0.001
0.227268174,0.914850473,0.259858966,0.902475834,0.001
0.220312819,0.917098999,0.243762091,0.909722209,0.001
0.215089425,0.918832779,0.308367521,0.886198938,0.001
0.208955616,0.921138465,0.261425585,0.902960777,0.001
0.204633534,0.922387362,0.273336887,0.901981771,0.001
0.200547963,0.924212694,0.218671143,0.917984188,0.001
0.194321349,0.926545799,0.230555952,0.914251208,0.001
0.190103561,0.927915931,0.233854279,0.913995028,0.001
0.186955914,0.929308951,0.216740653,0.919082105,0.001
0.183268428,0.930443466,0.229022637,0.915596187,0.001
0.179299325,0.931758702,0.21264261,0.920353889,0.001
0.175377965,0.933394194,0.223868281,0.918249547,0.001
0.170553744,0.935487092,0.256987929,0.905678153,0.001
0.167599544,0.936020076,0.214917392,0.921268821,0.001
0.162261739,0.937971175,0.207113951,0.924946904,0.001
0.159662843,0.939066827,0.218042701,0.918276966,0.001
0.155686259,0.940384388,0.196079507,0.926374257,0.001
0.151241735,0.942628264,0.250831217,0.911350846,0.001
0.147010311,0.943929791,0.191258058,0.928798854,0.001
0.143952593,0.945471466,0.189020902,0.930994749,0.001
0.13885957,0.94760102,0.205733404,0.924306452,0.001
0.134354562,0.949181557,0.187976226,0.930198729,0.001
0.130833715,0.950785041,0.178158462,0.934050679,0.001
0.127348468,0.951985896,0.157804996,0.941132367,0.001
0.122764826,0.953804374,0.178905785,0.934096396,0.001
0.118466862,0.955570221,0.16207926,0.940601647,0.001
0.115193777,0.956521749,0.153110012,0.943785667,0.001
0.112029485,0.957871258,0.1721389,0.936905265,0.001
0.106638141,0.959993958,0.23754181,0.91555959,0.001
0.105916575,0.960316479,0.150507048,0.944929361,0.001
0.100660771,0.962253869,0.161986679,0.942239404,0.001
0.098510839,0.963143647,0.203550071,0.92779243,0.001
0.095589347,0.964278221,0.145864055,0.948314667,0.001
0.092917398,0.965200007,0.145547807,0.947802305,0.001
0.099005753,0.966885805,0.22370176,0.922549784,0.001
0.098510839,0.963143647,0.203550071,0.92779243,0.001
0.095589347,0.964278221,0.145864055,0.948314667,0.001
0.092917398,0.965200007,0.145547807,0.947802305,0.001
0.098583132,0.962833166,0.161239877,0.940862417,0.001
0.096010245,0.963908792,0.13415508,0.949755728,0.001
0.094425634,0.964546978,0.095916584,0.963843584,0.001
0.091101736,0.965818167,0.128456995,0.95272702,0.001
0.08947219,0.966591895,0.13109979,0.952672124,0.001
0.08768186,0.967343271,0.122398555,0.95471698,0.001
0.08508677,0.968111813,0.107284456,0.960028291,0.001
0.083574474,0.968952417,0.13249667,0.952308416,0.001
0.082144313,0.969276667,0.100056842,0.96369952,0.001
0.080649704,0.969998896,0.10009177,0.962697625,0.001
0.080072857,0.970232189,0.093806587,0.965257168,0.001
0.077808946,0.970987022,0.092353292,0.965991437,0.001
0.075882941,0.972055793,0.102732427,0.962423146,0.001
0.075759374,0.971855104,0.112146467,0.958978355,0.001
0.073477693,0.972728312,0.087264314,0.967885375,0.001
0.072054565,0.973270416,0.085832842,0.968894124,0.001
0.071113117,0.973572314,0.092247769,0.966924667,0.001
0.070088856,0.973766208,0.114816055,0.958607793,0.001
0.069606952,0.974104166,0.102288701,0.962560415,0.001
0.067216136,0.975092292,0.088123918,0.968516707,0.001
0.067113452,0.975112855,0.080745287,0.971158624,0.001
0.065759912,0.975727022,0.076343976,0.972798645,0.001
