loss,accuracy,val_loss,val_accuracy,lr
0.577463388,0.689982474,0.537290692,0.715239465,0.001
0.500194073,0.751252949,0.469860762,0.76559031,0.001
0.450350106,0.781588435,0.454436332,0.780303597,0.001
0.411647946,0.80500114,0.40966922,0.809282601,0.001
0.379375309,0.821844757,0.349977881,0.837509871,0.001
0.353925675,0.835636437,0.34428677,0.839299798,0.001
0.331266463,0.847468078,0.309877932,0.861709774,0.001
0.30346486,0.863175035,0.260218114,0.884191334,0.001
0.279834658,0.874939561,0.245831117,0.895897448,0.001
0.257550448,0.887836277,0.213594243,0.908104837,0.001
0.240666375,0.895841897,0.226480946,0.904578626,0.001
0.223711401,0.904697776,0.274110258,0.881488502,0.001
0.209834456,0.910810471,0.205120727,0.913152456,0.001
0.20320192,0.914345682,0.16185905,0.937280715,0.001
0.193486139,0.91938889,0.170016721,0.930980146,0.001
0.18655394,0.922145426,0.153865531,0.937423944,0.001
0.178374186,0.92557323,0.167623907,0.930568457,0.001
0.172479808,0.928602755,0.154014528,0.938497901,0.001
0.167407528,0.931524873,0.149536386,0.937423944,0.001
0.163523436,0.93288523,0.140272558,0.94311589,0.001
0.157312736,0.93584764,0.147367328,0.942740023,0.001
0.152380958,0.938219368,0.142492548,0.94227463,0.001
0.148385599,0.940152526,0.115089901,0.953712344,0.001
0.146368757,0.940550745,0.11352627,0.953980803,0.001
0.143599972,0.942027509,0.112682149,0.955466449,0.001
0.139353141,0.943463922,0.111763515,0.955233753,0.001
0.138052836,0.944698989,0.104446769,0.959225297,0.001
0.133677572,0.946345806,0.088810004,0.966760933,0.001
0.131058216,0.947290003,0.10362608,0.958885252,0.001
0.128074914,0.94906652,0.088493146,0.966814637,0.001
0.127385765,0.949017286,0.120150112,0.95154649,0.001
0.123622164,0.950417936,0.095558174,0.963879168,0.001
0.124089286,0.950650632,0.090277493,0.965901792,0.001
0.121376336,0.951952875,0.098071091,0.963700175,0.001
0.119224593,0.952682257,0.091034941,0.965776443,0.001
0.117398426,0.95357722,0.087271042,0.966277659,0.001
0.114027783,0.955152392,0.097153343,0.962482989,0.001
0.115013026,0.954897344,0.081058726,0.968586683,0.001
0.111350738,0.955935538,0.084971413,0.968049705,0.001
0.110315695,0.956230879,0.083040558,0.968210757,0.001
0.10982734,0.957260072,0.084797084,0.968300283,0.001
0.108279251,0.957242191,0.066436186,0.97542423,0.001
0.105956428,0.958329618,0.067833722,0.974690318,0.001
0.106622167,0.958450437,0.077135295,0.970842004,0.001
0.102840945,0.959806323,0.0817504,0.968873084,0.001
0.101408482,0.960106134,0.06721139,0.974547148,0.001
0.10165415,0.960531235,0.076663285,0.971289456,0.001
0.100513779,0.961104035,0.073025942,0.972077012,0.001
0.099427179,0.961341202,0.057992812,0.979523182,0.001
0.098286495,0.961305439,0.087985255,0.967369497,0.001
0.09923286,0.961354673,0.062583573,0.97724992,0.001
0.095327847,0.962782145,0.057616312,0.979272544,0.001
0.094854429,0.963578701,0.066917628,0.975012541,0.001
0.094482966,0.963466823,0.083381817,0.967817008,0.001
0.092775933,0.963918746,0.072936095,0.97162956,0.001
0.091527447,0.964921176,0.062924691,0.977053046,0.001
0.090753935,0.964621305,0.076469295,0.970967293,0.001
0.090810597,0.964760065,0.110282779,0.959314823,0.001
0.089779399,0.964804828,0.05372081,0.981366813,0.001
0.087919302,0.966339707,0.086189151,0.96600914,0.001
0.087407455,0.966048837,0.059922785,0.977088869,0.001
0.08632727,0.966532111,0.055904243,0.979308367,0.001
0.085843489,0.966966212,0.061046198,0.978055418,0.001
0.084669113,0.967019916,0.060407866,0.975907505,0.001
0.084282383,0.967122793,0.057632778,0.979039907,0.001
0.083857007,0.967695594,0.049382214,0.982225955,0.001
0.083251595,0.967704535,0.086390182,0.968461394,0.001
0.083565086,0.967941701,0.073335402,0.970537722,0.001
